"model","method","p","n","rho","B","coverage","avg_width","median_width","lower_zero_rate","mean_p_hat","sd_p_hat","mean_defaults","sd_defaults"
"vasicek","Agresti_Coull",0.001,1e+05,0.25,10000,0.0571,0.000268902997188753,0.000170486208722078,0.1628,0.000990825,0.00322659905527807,99.0825,322.659905527807
"independent","Wald",0.005,5000,0,10000,0.9451,0.00389027469464855,0.00391011586866203,0,0.0050019,0.00101303060817594,25.0095,5.06515304087969
"independent","Clopper_Pearson",0.005,5000,0,10000,0.9533,0.00411448959997559,0.00413392414742532,0,0.0050019,0.00101303060817594,25.0095,5.06515304087969
"independent","Wilson",0.005,5000,0,10000,0.942,0.00396314386634593,0.00398182201940016,0,0.0050019,0.00101303060817594,25.0095,5.06515304087969
"independent","Agresti_Coull",0.005,5000,0,10000,0.942,0.0040360220716454,0.00405365280062235,0,0.0050019,0.00101303060817594,25.0095,5.06515304087969
"vasicek","Wald",0.005,5000,0.01,10000,0.7421,0.00384233113249679,0.00383150050273811,1e-04,0.0049807,0.00174599895797109,24.9035,8.72999478985544
"vasicek","Clopper_Pearson",0.005,5000,0.01,10000,0.7567,0.00406746788099138,0.00405585415372622,0,0.0049807,0.00174599895797109,24.9035,8.72999478985544
"vasicek","Wilson",0.005,5000,0.01,10000,0.7375,0.0039177952335235,0.00390477024852591,0,0.0049807,0.00174599895797109,24.9035,8.72999478985544
"vasicek","Agresti_Coull",0.005,5000,0.01,10000,0.7375,0.00399297163468664,0.00397805123666818,0,0.0049807,0.00174599895797109,24.9035,8.72999478985544
"vasicek","Wald",0.005,5000,0.05,10000,0.4215,0.00365218094273835,0.00349907095574187,0.0226,0.00492092,0.00353680381866526,24.6046,17.6840190933263
"vasicek","Clopper_Pearson",0.005,5000,0.05,10000,0.4425,0.00388475351707937,0.00372598384402137,8e-04,0.00492092,0.00353680381866526,24.6046,17.6840190933263
"vasicek","Wilson",0.005,5000,0.05,10000,0.4298,0.0037429628827116,0.00357967489192712,0,0.00492092,0.00353680381866526,24.6046,17.6840190933263
"vasicek","Agresti_Coull",0.005,5000,0.05,10000,0.4298,0.00382819295979767,0.00365972693244791,0.0038,0.00492092,0.00353680381866526,24.6046,17.6840190933263
"vasicek","Wald",0.005,5000,0.1,10000,0.2906,0.00345314613815052,0.00322695555920968,0.0983,0.0049885,0.00544678974276134,24.9425,27.2339487138067
"vasicek","Clopper_Pearson",0.005,5000,0.1,10000,0.3069,0.00370605407811067,0.00345633155308297,0.0118,0.0049885,0.00544678974276134,24.9425,27.2339487138067
"vasicek","Wilson",0.005,5000,0.1,10000,0.2978,0.00357534382671946,0.00331460798017185,0,0.0049885,0.00544678974276134,24.9425,27.2339487138067
"vasicek","Agresti_Coull",0.005,5000,0.1,10000,0.2978,0.00367125530917484,0.00340111127199123,0.0348,0.0049885,0.00544678974276134,24.9425,27.2339487138067
