"method","p","n","rho","width_vasicek","width_ind","width_diff"
"Clopper_Pearson",0.01,10000,0.05,0.00380674856113221,0.00399782401751654,-0.00019107545638433
"Wald",0.01,10000,0.05,0.00370000984029979,0.00389216467012385,-0.00019215482982406
"Wilson",0.01,10000,0.05,0.00372057276328547,0.00390961897868819,-0.00018904621540272
"Agresti_Coull",0.01,10000,0.1,0.00358757944792565,0.00392772848977559,-0.00034014904184994
"Clopper_Pearson",0.01,10000,0.1,0.00364639462602221,0.00399782401751654,-0.00035142939149433
"Wald",0.01,10000,0.1,0.00353787982290634,0.00389216467012385,-0.00035428484721751
"Wilson",0.01,10000,0.1,0.00356284581760544,0.00390961897868819,-0.000346773161082749
"Agresti_Coull",0.01,10000,0.2,0.00319842459570467,0.00392772848977559,-0.00072930389407092
"Clopper_Pearson",0.01,10000,0.2,0.0032405380497405,0.00399782401751654,-0.00075728596777604
"Wald",0.01,10000,0.2,0.00312165847853507,0.00389216467012385,-0.00077050619158878
"Wilson",0.01,10000,0.2,0.00316480676449365,0.00390961897868819,-0.00074481221419454
"Agresti_Coull",0.01,10000,0.25,0.00307849512421548,0.00392772848977559,-0.00084923336556011
"Clopper_Pearson",0.01,10000,0.25,0.00311088228652527,0.00399782401751654,-0.00088694173099127
"Wald",0.01,10000,0.25,0.0029811137998848,0.00389216467012385,-0.00091105087023905
"Wilson",0.01,10000,0.25,0.00304048900695832,0.00390961897868819,-0.000869129971729869
"Agresti_Coull",0.01,25000,0.01,0.00244837935386905,0.00247388500780204,-2.55056539329901e-05
"Clopper_Pearson",0.01,25000,0.01,0.00248057671447522,0.00250631600170345,-2.57392872282302e-05
"Wald",0.01,25000,0.01,0.0024390965932564,0.00246488490676366,-2.57883135072598e-05
"Wilson",0.01,25000,0.01,0.00244364964148671,0.00246929492644737,-2.564528496066e-05
"Agresti_Coull",0.01,25000,0.05,0.0023450338548289,0.00247388500780204,-0.00012885115297314
"Clopper_Pearson",0.01,25000,0.05,0.00237617073112787,0.00250631600170345,-0.00013014527057558
"Wald",0.01,25000,0.05,0.00233446766439925,0.00246488490676366,-0.00013041724236441
"Wilson",0.01,25000,0.05,0.00233967116491698,0.00246929492644737,-0.00012962376153039
"Agresti_Coull",0.01,25000,0.1,0.00224558645843032,0.00247388500780204,-0.00022829854937172
"Clopper_Pearson",0.01,25000,0.1,0.00227508971327542,0.00250631600170345,-0.00023122628842803
"Wald",0.01,25000,0.1,0.00223302668253021,0.00246488490676366,-0.00023185822423345
"Wilson",0.01,25000,0.1,0.00223925387929024,0.00246929492644737,-0.00023004104715713
"Agresti_Coull",0.01,25000,0.2,0.00204078793058611,0.00247388500780204,-0.00043309707721593
"Clopper_Pearson",0.01,25000,0.2,0.0020653681004362,0.00250631600170345,-0.00044094790126725
"Wald",0.01,25000,0.2,0.00202136513973016,0.00246488490676366,-0.0004435197670335
"Wilson",0.01,25000,0.2,0.00203167344974731,0.00246929492644737,-0.00043762147670006
"Agresti_Coull",0.01,25000,0.25,0.00192033026718701,0.00247388500780204,-0.00055355474061503
"Clopper_Pearson",0.01,25000,0.25,0.00194165752727895,0.00250631600170345,-0.0005646584744245
"Wald",0.01,25000,0.25,0.00189535754201972,0.00246488490676366,-0.00056952736474394
"Wilson",0.01,25000,0.25,0.00190952786229002,0.00246929492644737,-0.00055976706415735
"Agresti_Coull",0.01,50000,0.01,0.00172629655053439,0.00174699985004854,-2.070329951415e-05
"Clopper_Pearson",0.01,50000,0.01,0.00174353441199779,0.00176432375732247,-2.07893453246801e-05
"Wald",0.01,50000,0.01,0.00172301038003758,0.00174381773846568,-2.08073584281e-05
"Wilson",0.01,50000,0.01,0.00172462131956177,0.00174537612222097,-2.07548026592e-05
"Agresti_Coull",0.01,50000,0.05,0.00166271688420035,0.00174699985004854,-8.428296584819e-05
"Clopper_Pearson",0.01,50000,0.05,0.00167960262771142,0.00176432375732247,-8.472112961105e-05
"Wald",0.01,50000,0.05,0.00165900518249612,0.00174381773846568,-8.481255596956e-05
"Wilson",0.01,50000,0.05,0.00166083088437018,0.00174537612222097,-8.454523785079e-05
"Agresti_Coull",0.01,50000,0.1,0.00158037034004126,0.00174699985004854,-0.00016662951000728
"Clopper_Pearson",0.01,50000,0.1,0.00159662918005686,0.00176432375732247,-0.00016769457726561
"Wald",0.01,50000,0.1,0.00157589976176257,0.00174381773846568,-0.00016791797670311
"Wilson",0.01,50000,0.1,0.00157811001744801,0.00174537612222097,-0.00016726610477296
"Agresti_Coull",0.01,50000,0.2,0.00142771737588131,0.00174699985004854,-0.00031928247416723
"Clopper_Pearson",0.01,50000,0.2,0.00144195670536816,0.00176432375732247,-0.00032236705195431
"Wald",0.01,50000,0.2,0.0014205403727391,0.00174381773846568,-0.00032327736572658
"Wilson",0.01,50000,0.2,0.00142429669870757,0.00174537612222097,-0.0003210794235134
"Agresti_Coull",0.01,50000,0.25,0.00133787011481066,0.00174699985004854,-0.00040912973523788
"Clopper_Pearson",0.01,50000,0.25,0.00135083571511413,0.00176432375732247,-0.00041348804220834
"Wald",0.01,50000,0.25,0.00132869339651965,0.00174381773846568,-0.00041512434194603
"Wilson",0.01,50000,0.25,0.00133376065991151,0.00174537612222097,-0.00041161546230946
"Agresti_Coull",0.01,1e+05,0.01,0.00122391710238842,0.00123449104118451,-1.057393879609e-05
"Clopper_Pearson",0.01,1e+05,0.01,0.00123294441814058,0.00124354492977222,-1.060051163164e-05
"Wald",0.01,1e+05,0.01,0.00122275994144793,0.00123336598068558,-1.060603923765e-05
"Wilson",0.01,1e+05,0.01,0.00122332694446825,0.0012339168113179,-1.05898668496501e-05
"Agresti_Coull",0.01,1e+05,0.05,0.00117685552424904,0.00123449104118451,-5.76355169354698e-05
"Clopper_Pearson",0.01,1e+05,0.05,0.0011857516596248,0.00124354492977222,-5.77932701474201e-05
"Wald",0.01,1e+05,0.05,0.00117553992220499,0.00123336598068558,-5.78260584805899e-05
"Wilson",0.01,1e+05,0.05,0.00117618674604568,0.0012339168113179,-5.77300652722201e-05
