"model","method","p","n","rho","avg_width","median_width"
"vasicek","Wald",0.005,1e+05,0.05,0.000827597722199026,0.00079593463173983
"vasicek","Wilson",0.005,1e+05,0.05,0.000828567219042381,0.000796830493784677
"vasicek","Agresti_Coull",0.005,1e+05,0.1,0.000787225462691295,0.000714015625741899
"vasicek","Clopper_Pearson",0.005,1e+05,0.1,0.00079524931610395,0.000722323627126863
"vasicek","Wald",0.005,1e+05,0.1,0.000784854021681583,0.000711987114757342
"vasicek","Wilson",0.005,1e+05,0.1,0.000786035382217047,0.000712995283548605
"vasicek","Agresti_Coull",0.005,1e+05,0.2,0.000696624107987788,0.000557806465258336
"vasicek","Clopper_Pearson",0.005,1e+05,0.2,0.000703463595078624,0.00056562507410658
"vasicek","Wald",0.005,1e+05,0.2,0.000692655396841675,0.000555186900126929
"vasicek","Wilson",0.005,1e+05,0.2,0.000694752581838435,0.000556492930239631
"vasicek","Agresti_Coull",0.005,1e+05,0.25,0.000636822074456402,0.000466633524855313
"vasicek","Clopper_Pearson",0.005,1e+05,0.25,0.00064275323417064,0.000474015870127703
"vasicek","Wald",0.005,1e+05,0.25,0.000631368084547793,0.000463487349975518
"vasicek","Wilson",0.005,1e+05,0.25,0.000634469756297284,0.000465058692288094
"vasicek","Agresti_Coull",0.01,5000,0.01,0.00555075633235351,0.00550728767597413
"vasicek","Clopper_Pearson",0.01,5000,0.01,0.00566396070271175,0.00562174791151213
"vasicek","Wald",0.01,5000,0.01,0.00544742248028934,0.00540547691392709
"vasicek","Wilson",0.01,5000,0.01,0.00549834347453055,0.005455611874078
"vasicek","Agresti_Coull",0.01,5000,0.05,0.00536264668055671,0.00516886173144264
"vasicek","Clopper_Pearson",0.01,5000,0.05,0.00546473367201321,0.00527707412141726
"vasicek","Wald",0.01,5000,0.05,0.00524548813622976,0.00505942295203257
"vasicek","Wilson",0.01,5000,0.05,0.00530375325595044,0.00511349577776693
"vasicek","Agresti_Coull",0.01,5000,0.1,0.00515981802023873,0.0048057481518477
"vasicek","Clopper_Pearson",0.01,5000,0.1,0.00524691760736021,0.00490629040734372
"vasicek","Wald",0.01,5000,0.1,0.00502147837521679,0.00468694888248062
"vasicek","Wilson",0.01,5000,0.1,0.00509252121481366,0.00474585504213857
"vasicek","Agresti_Coull",0.01,5000,0.2,0.00464695375719209,0.00390095334085763
"vasicek","Clopper_Pearson",0.01,5000,0.2,0.00469404390448781,0.00397613791733795
"vasicek","Wald",0.01,5000,0.2,0.00443142292641402,0.00375120517237296
"vasicek","Wilson",0.01,5000,0.2,0.00456018279276981,0.00382613503647493
"vasicek","Agresti_Coull",0.01,5000,0.25,0.00437309713172369,0.00340111127199123
"vasicek","Clopper_Pearson",0.01,5000,0.25,0.00439898025117987,0.00345633155308297
"vasicek","Wald",0.01,5000,0.25,0.0041087141363522,0.00322695555920968
"vasicek","Wilson",0.01,5000,0.25,0.00427743138052089,0.00331460798017185
"vasicek","Agresti_Coull",0.01,10000,0.01,0.00389904659624209,0.00387790390671612
"vasicek","Clopper_Pearson",0.01,10000,0.01,0.00396831380604925,0.00394764819807427
"vasicek","Wald",0.01,10000,0.01,0.00386247878736984,0.0038419113836888
"vasicek","Wilson",0.01,10000,0.01,0.00388044458666989,0.00385958600836498
"vasicek","Agresti_Coull",0.01,10000,0.05,0.00374163335157705,0.00361648926339499
"vasicek","Clopper_Pearson",0.01,10000,0.05,0.00380674856113221,0.00368381570303339
"vasicek","Wald",0.01,10000,0.05,0.00370000984029979,0.00357755227827309
"vasicek","Wilson",0.01,10000,0.05,0.00372057276328547,0.00359673566464769
"vasicek","Agresti_Coull",0.01,10000,0.1,0.00358757944792565,0.00333386604458212
"vasicek","Clopper_Pearson",0.01,10000,0.1,0.00364639462602221,0.00339816339569337
"vasicek","Wald",0.01,10000,0.1,0.00353787982290634,0.00329124351501235
"vasicek","Wilson",0.01,10000,0.1,0.00356284581760544,0.00331231355133346
"vasicek","Agresti_Coull",0.01,10000,0.2,0.00319842459570467,0.00270601569411271
"vasicek","Clopper_Pearson",0.01,10000,0.2,0.0032405380497405,0.00276135340792637
"vasicek","Wald",0.01,10000,0.2,0.00312165847853507,0.00265250261500697
"vasicek","Wilson",0.01,10000,0.2,0.00316480676449365,0.00267914584527079
